Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_3",2,7,kmeans,lobpcg,3,-0.10071773962621168,0.11254501530285188,1.8150241413297414,0.09183497094412857,21.704796588579764,2,0.023494720458984375
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_4",2,7,kmeans,lobpcg,4,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.022211790084838867
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_5",2,7,kmeans,lobpcg,5,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.023471355438232422
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_6",2,7,kmeans,lobpcg,6,-0.10071773962621168,0.11254501530285188,1.8150241413297414,0.09183497094412857,21.704796588579764,2,0.023931503295898438
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_7",2,7,kmeans,lobpcg,7,-0.10071773962621168,0.11254501530285188,1.8150241413297414,0.09183497094412857,21.704796588579764,2,0.01994466781616211
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_8",2,7,kmeans,lobpcg,8,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.02060246467590332
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_9",2,7,kmeans,lobpcg,9,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.021270751953125
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_0",2,7,kmeans,amg,0,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.019765853881835938
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_1",2,7,kmeans,amg,1,-0.10071773962621168,0.11254501530285188,1.8150241413297414,0.09183497094412857,21.704796588579764,2,0.019516706466674805
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_2",2,7,kmeans,amg,2,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.020184993743896484
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_3",2,7,kmeans,amg,3,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.021796226501464844
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_4",2,7,kmeans,amg,4,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.01948261260986328
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_5",2,7,kmeans,amg,5,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.020060062408447266
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_6",2,7,kmeans,amg,6,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.020793676376342773
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_7",2,7,kmeans,amg,7,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.01958012580871582
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_8",2,7,kmeans,amg,8,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.019625425338745117
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=amg)_9",2,7,kmeans,amg,9,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.01903057098388672
