Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_1",3,7.0,0.9,1,0.07609868430955827,0.08979342435930683,2.2407836241378534,0.1593035162112108,27.967452520894547,3,0.010985612869262695
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_2",3,7.0,0.9,2,0.0978427473031478,0.15317735423003465,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.015540838241577148
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_3",3,7.0,0.9,3,0.06366071136406619,0.08718051766929058,2.2033040928726946,0.1684327394425247,27.50426477401079,3,0.01090693473815918
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_4",3,7.0,0.9,4,0.0959936797656275,0.1375933062966797,2.2566587399478286,0.1507189138678767,27.674981336194207,3,0.007994413375854492
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_5",3,7.0,0.9,5,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.00801539421081543
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_6",3,7.0,0.9,6,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.01619553565979004
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_7",3,7.0,0.9,7,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_8",3,7.0,0.9,8,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.017801523208618164
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_9",3,7.0,0.9,9,0.038066772360560455,0.09939531514870603,2.181507550630655,0.1634202834677048,27.669089130739955,3,0.014534473419189453
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_0",3,9.0,0.5,0,0.08370925631425387,0.15067659522751048,2.214631471010343,0.14206833962837723,27.756211378715232,3,0.015643835067749023
