Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=4k)_0",12,euclidean,4k,0,0.07764592483163746,0.18188206110045502,1.3965446316847523,0.12379443819499644,12.51273378698099,12,0.25386929512023926
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=2k)_0",12,manhattan,2k,0,0.07189852415777734,0.1365691235918521,1.7196329080801116,0.18323614655073925,14.476151623334305,12,0.10511445999145508
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=3k)_0",12,manhattan,3k,0,0.05424687054094608,0.13447256087355547,1.7360409726019128,0.16490932733995473,15.240597663591297,12,0.1444089412689209
"GlobalKMeansAlgorithm(k=12, Distance_Metric=manhattan, N_Buckets=4k)_0",12,manhattan,4k,0,0.06650872911879939,0.1287107618780448,1.7387738013067793,0.17989997404531843,14.485147333231053,12,0.2517693042755127
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=2k)_0",12,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.13432097434997559
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=3k)_0",12,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.1605381965637207
"GlobalKMeansAlgorithm(k=12, Distance_Metric=clark, N_Buckets=4k)_0",12,clark,4k,0,0.2643383232736845,0.19543651801196824,2.1624673147756877,0.18709348894457475,30.49234786601562,2,0.17794394493103027
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=2k)_0",13,euclidean,2k,0,0.07213292721499501,0.14041572187110046,1.65560714659386,0.16986219995111537,14.30767256524202,13,0.10840249061584473
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=3k)_0",13,euclidean,3k,0,0.08069112318908415,0.1659783467397058,1.5357930622727483,0.13741594768045487,13.620993400905446,13,0.14000678062438965
"GlobalKMeansAlgorithm(k=13, Distance_Metric=euclidean, N_Buckets=4k)_0",13,euclidean,4k,0,0.05791653832059074,0.15693577654747534,1.4843595043465665,0.14933227335807622,12.54729610447633,13,0.17514777183532715
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=2k)_0",13,manhattan,2k,0,0.06918074059885865,0.13386282511818834,1.6108009885894117,0.17604470750047954,14.049584349253436,13,0.10824275016784668
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=3k)_0",13,manhattan,3k,0,0.058628096708861856,0.12205025291596397,1.6291073317762161,0.17575038558251918,14.473955946754849,13,0.14097905158996582
"GlobalKMeansAlgorithm(k=13, Distance_Metric=manhattan, N_Buckets=4k)_0",13,manhattan,4k,0,0.07048453655233926,0.13945275308323402,1.7224513507070445,0.1823352775094654,14.363172363859643,13,0.21538949012756348
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=2k)_0",13,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.15610790252685547
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=3k)_0",13,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.19457483291625977
"GlobalKMeansAlgorithm(k=13, Distance_Metric=clark, N_Buckets=4k)_0",13,clark,4k,0,0.2643383232736845,0.19543651801196824,2.1624673147756877,0.18709348894457475,30.49234786601562,2,0.1976463794708252
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=2k)_0",14,euclidean,2k,0,0.06847654610258927,0.13367965083459063,1.6006087984514092,0.12143716651890009,12.956435185232099,14,0.12362051010131836
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=3k)_0",14,euclidean,3k,0,0.07451058156027479,0.15181137477213102,1.3784254746867237,0.12540258857454195,12.253893637560447,14,0.19022870063781738
"GlobalKMeansAlgorithm(k=14, Distance_Metric=euclidean, N_Buckets=4k)_0",14,euclidean,4k,0,0.058915621630678434,0.1645362998003122,1.4817446981165798,0.16160392382327582,12.571104097253658,14,0.2296597957611084
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=2k)_0",14,manhattan,2k,0,0.07110635268446056,0.13993226177954424,1.6191130927405109,0.17895874227804404,13.479596158555434,14,0.10761308670043945
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=3k)_0",14,manhattan,3k,0,0.03820787469570613,0.11721361993551604,1.6275967039103882,0.16957828561403512,13.746965708581326,14,0.17047977447509766
"GlobalKMeansAlgorithm(k=14, Distance_Metric=manhattan, N_Buckets=4k)_0",14,manhattan,4k,0,0.05063323530060689,0.14424774099236556,1.6695380590753204,0.17221396885446782,14.034289612011937,14,0.24034619331359863
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=2k)_0",14,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.1799924373626709
"GlobalKMeansAlgorithm(k=14, Distance_Metric=clark, N_Buckets=3k)_0",14,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.20009684562683105
