Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"KMeansAlgorithm(k=6, Distance_Metric=clark)_0",6,clark,0,0.21569603363209583,0.1831328836663068,2.5384961683650893,0.014709827187924235,17.315262384834426,4,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_1",6,clark,1,0.2690665581485826,0.20276966962374318,2.5299804230007927,0.16761663994677173,21.033531200039125,3,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_2",6,clark,2,0.328804763874818,0.18091341985883833,2.1539966864171536,-0.011872645523393694,11.373726731144925,4,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_3",6,clark,3,0.24550823008784103,0.18757016183115824,2.1017995742838993,0.10371858509225002,12.362095653296347,5,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_4",6,clark,4,0.21931813826005128,0.18884279881268975,2.5486835680464432,0.014359841903646675,17.27387690388498,4,0.01567673683166504
"KMeansAlgorithm(k=6, Distance_Metric=clark)_5",6,clark,5,0.2914889080842215,0.20387786303394204,1.9894856048478795,-0.05956632920293227,15.046436870573686,4,0.0010116100311279297
"KMeansAlgorithm(k=6, Distance_Metric=clark)_6",6,clark,6,0.08056964921980793,0.12905507282226905,2.4947274687363508,-0.06366044941296309,12.46260107870325,5,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_7",6,clark,7,0.23970082934776635,0.13567560624272126,1.5607836118636962,0.10835270911109413,11.340882777347858,4,0.0
"KMeansAlgorithm(k=6, Distance_Metric=clark)_8",6,clark,8,0.19836530280608233,0.20959651502173535,2.3285916320226456,-0.01195155415605629,12.587750836938962,5,0.01566028594970703
"KMeansAlgorithm(k=6, Distance_Metric=clark)_9",6,clark,9,0.2232336627333875,0.18623303567843938,2.519685913565847,0.015060277065345639,17.393015791711708,4,0.0
"KMeansAlgorithm(k=7, Distance_Metric=euclidean)_0",7,euclidean,0,0.08125947289001026,0.164363485114201,1.9800575758254344,0.14266984236873712,18.053525392560886,7,0.015580415725708008
"KMeansAlgorithm(k=7, Distance_Metric=euclidean)_1",7,euclidean,1,0.06939902654601107,0.14356637263051555,1.9406529162544994,0.14300223473401008,17.83177382256172,7,0.0
