Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=3k)_0",7,euclidean,3k,0,0.21429591960243868,0.29610549952230514,1.529411521281485,0.2750189418844051,1822.380991581765,0.224045991897583
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=4k)_0",7,euclidean,4k,0,0.2152677250684268,0.29425044010852747,1.6206800909943555,0.26374851706008945,1805.9473464823889,0.23288893699645996
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=2k)_0",7,manhattan,2k,0,0.21679735558456836,0.3205131601736489,1.5383963908470595,0.2716245786136985,1770.9168583266035,0.22168612480163574
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=3k)_0",7,manhattan,3k,0,0.25223155021249366,0.34867061670709854,1.6417652795806714,0.26876603238630065,1631.848880769245,0.23448419570922852
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=4k)_0",7,manhattan,4k,0,0.24759576921279927,0.3420116184967118,1.662230250510382,0.2673024513446561,1638.5452288081676,0.24853134155273438
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=2k)_0",7,clark,2k,0,0.16768860062344865,0.23546474722755806,2.3540480821173295,0.15368082443482065,1018.4945703385437,0.45701169967651367
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=3k)_0",7,clark,3k,0,0.1676027702882607,0.23538269744559084,2.354230942649376,0.15369880856945373,1018.6508661411698,0.4686696529388428
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=4k)_0",7,clark,4k,0,0.19035299333105793,0.24570611888891788,2.0240348382263216,0.1872962988295824,1621.3963430556717,0.46045756340026855
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=2k)_0",8,euclidean,2k,0,0.20551081438219423,0.2747547004514615,1.5948940886054577,0.262787059357094,1686.4026306286103,0.28214120864868164
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=3k)_0",8,euclidean,3k,0,0.20551081438219423,0.27475470045146144,1.5948940886054577,0.262787059357094,1686.4026306286103,0.29476428031921387
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=4k)_0",8,euclidean,4k,0,0.17861489352069584,0.28526630832465794,1.475146805602876,0.26146525486660027,1742.3979855072118,0.5682034492492676
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=2k)_0",8,manhattan,2k,0,0.25444735246969225,0.33764115887491514,1.6069389200664763,0.26993810696269976,1528.1754669981462,0.5771694183349609
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=3k)_0",8,manhattan,3k,0,0.23039590511344687,0.32709800411181256,1.7926302533391878,0.2643017762315461,1477.0989629323192,0.384199857711792
