Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_0",2,1.5,0.7,0,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.28690004348754883
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_1",2,1.5,0.7,1,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.3215601444244385
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_2",2,1.5,0.7,2,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.5060572624206543
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_3",2,1.5,0.7,3,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.32317280769348145
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_4",2,1.5,0.7,4,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.2175300121307373
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_5",2,1.5,0.7,5,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.24259424209594727
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_6",2,1.5,0.7,6,0.17273398334030482,0.19312990286873033,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.19608831405639648
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_7",2,1.5,0.7,7,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.6060748100280762
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_8",2,1.5,0.7,8,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.4772324562072754
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.7)_9",2,1.5,0.7,9,0.17273398334030482,0.1931299028687303,1.1996663506471459,0.28155901861694416,2996.240411127295,2,0.1665191650390625
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_0",2,1.5,0.9,0,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.3222808837890625
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_1",2,1.5,0.9,1,0.17232484113144655,0.19235821633214592,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.3433547019958496
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_2",2,1.5,0.9,2,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.1871645450592041
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_3",2,1.5,0.9,3,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.31569409370422363
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_4",2,1.5,0.9,4,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.28740787506103516
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_5",2,1.5,0.9,5,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.18035149574279785
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_6",2,1.5,0.9,6,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.322371244430542
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_7",2,1.5,0.9,7,0.17232484113144655,0.19235821633214592,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.14742732048034668
"FuzzyCMeans(n_clusters=2, fuzziness=1.5, rho=0.9)_8",2,1.5,0.9,8,0.17232484113144655,0.1923582163321459,1.2004136596692372,0.2814540737170784,2996.2334026353255,2,0.2958657741546631
