Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=219)_2,219,2,0.09160305609234437,0.5872626066437102,1.5102325851368392,0.14749615420126916,651.8303366831976,219,5.767653703689575
XMeans(max_clusters=219)_3,219,3,0.09893505373638273,0.5912592909369146,1.4884837791826018,0.15183815641909695,657.468284702717,217,8.699696779251099
XMeans(max_clusters=219)_4,219,4,0.10425758775577805,0.5944023364322537,1.4745916085121509,0.15711381678079595,664.8125955333146,212,8.60689401626587
XMeans(max_clusters=220)_0,220,0,0.09967154814842018,0.5919849422009127,1.4895503928218194,0.15351760216200735,660.880380774246,216,7.017282009124756
XMeans(max_clusters=220)_1,220,1,0.09786706162480484,0.5929467376947661,1.491008866171335,0.15378830658971207,668.7428365016609,212,7.65971827507019
XMeans(max_clusters=220)_2,220,2,0.10086149114618817,0.5937731935508505,1.4678681313117639,0.15263290321378126,658.6052239061556,215,9.02390718460083
XMeans(max_clusters=220)_3,220,3,0.1041791590698485,0.5961445108815219,1.4774939733809054,0.15451774330161475,691.5998269438869,201,6.465163230895996
XMeans(max_clusters=220)_4,220,4,0.09976946148952655,0.5947871822169162,1.5144746970999314,0.15114098886252214,678.6314100879489,208,5.7027013301849365
XMeans(max_clusters=221)_0,221,0,0.09358938984282442,0.5876876319978827,1.4953875944678887,0.15082632902501902,655.8639123940426,221,8.212278127670288
XMeans(max_clusters=221)_1,221,1,0.09621443502633312,0.5929158654039909,1.487467666958577,0.15299862421855634,660.6058013229764,219,14.314239740371704
XMeans(max_clusters=221)_2,221,2,0.09901542517059031,0.5933248763776925,1.4970495836902449,0.15343018734258593,667.4427705328479,211,10.364810705184937
XMeans(max_clusters=221)_3,221,3,0.09765221472871581,0.5916715151889157,1.4764105033451058,0.15079092751193882,650.8746081446443,220,8.32618761062622
XMeans(max_clusters=221)_4,221,4,0.09901609293596951,0.5923178458119608,1.4902116467338182,0.1532003773220569,672.6826893646771,210,5.801568984985352
XMeans(max_clusters=222)_0,222,0,0.09689183629786034,0.5911345564503534,1.467458692596135,0.1524942094063259,647.9437758042748,222,9.038907289505005
XMeans(max_clusters=222)_1,222,1,0.09640336277205856,0.5904906802329828,1.5062100316501053,0.150801471225773,646.317465799787,222,8.2358877658844
XMeans(max_clusters=222)_2,222,2,0.09382454382491133,0.5881709578363304,1.4836020478550522,0.15045229065640703,650.7898721129559,222,7.828478097915649
XMeans(max_clusters=222)_3,222,3,0.0918679194101847,0.5877629223182682,1.497836030719106,0.14880378204773229,648.2732224626516,222,6.739316701889038
XMeans(max_clusters=222)_4,222,4,0.10024123393967313,0.5917578644212556,1.4849896245819312,0.15275062327938083,657.8618253792316,216,7.790722131729126
XMeans(max_clusters=223)_0,223,0,0.1029126104303635,0.5936817816005736,1.4969437557799539,0.15426803364913627,669.18238733532,207,8.55510425567627
XMeans(max_clusters=223)_1,223,1,0.09390114907303937,0.5882948746918308,1.4813838574472573,0.15225824664119592,661.3434822630586,220,7.795387506484985
XMeans(max_clusters=223)_2,223,2,0.09804971556896082,0.591236543792557,1.4840997310277961,0.15344929187774384,643.9675524879133,222,11.653977632522583
XMeans(max_clusters=223)_3,223,3,0.09544109092189768,0.5915953877491942,1.4971219686717674,0.14993614141572598,649.7994704131868,221,6.958695650100708
XMeans(max_clusters=223)_4,223,4,0.09884545426929996,0.5934296567388655,1.4669264686417067,0.15405009717395948,663.6868730156542,218,11.151359796524048
XMeans(max_clusters=224)_0,224,0,0.09789145107420817,0.5895545894312079,1.4979503170648516,0.15038977490830807,656.9255381022869,218,9.843655824661255
XMeans(max_clusters=224)_1,224,1,0.09345142582593664,0.5891196695837476,1.4855104046480692,0.14887197929568513,654.4935650835957,224,6.891998052597046
XMeans(max_clusters=224)_2,224,2,0.09411407497149275,0.5904444230913359,1.5115659135364155,0.14921238657608354,650.8822638150691,219,7.843740940093994
XMeans(max_clusters=224)_3,224,3,0.09702804149902636,0.5920872308217899,1.4890695882226146,0.15174454980480012,646.0452238953307,223,8.924372911453247
XMeans(max_clusters=224)_4,224,4,0.09912304216568732,0.5922276482363131,1.4973104936196107,0.15201680139455112,653.6627194265815,216,8.06874966621399
XMeans(max_clusters=225)_0,225,0,0.10716589516636396,0.5954108887090319,1.4758986418523359,0.15738443920272904,686.2186614907922,200,6.003741502761841
XMeans(max_clusters=225)_1,225,1,0.09711324621102838,0.5906265846376269,1.5106016131100393,0.15208309802567901,657.9015536712417,219,9.97238278388977
XMeans(max_clusters=225)_2,225,2,0.09688834394804019,0.5915998610477673,1.497114407525611,0.14812158684409302,639.1255705689449,224,14.411640405654907
XMeans(max_clusters=225)_3,225,3,0.09478003007100201,0.5898364905407859,1.5046710716264355,0.15136536535458092,652.9121864569787,222,10.21906065940857
XMeans(max_clusters=225)_4,225,4,0.09634386080505844,0.5898017019233924,1.4922179146744545,0.14886144878301394,643.1790119364022,225,9.272881746292114
XMeans(max_clusters=226)_0,226,0,0.09637069085956008,0.5911807676478522,1.4910898054867,0.149329751937385,645.9606049685501,221,9.29807424545288
XMeans(max_clusters=226)_1,226,1,0.09742667300022073,0.5910298918874869,1.4784349755360786,0.15019012028068673,657.2588830635276,217,6.986199617385864
XMeans(max_clusters=226)_2,226,2,0.1013304962656318,0.5936332199802291,1.5091617468622658,0.14979094612807967,668.1309752364606,212,8.846485376358032
XMeans(max_clusters=226)_3,226,3,0.100877659989934,0.5930173544676326,1.510448760477124,0.15283187122583883,664.6122262850137,210,6.7669148445129395
XMeans(max_clusters=226)_4,226,4,0.10057482749526016,0.5909750309067409,1.471504375141169,0.15335302116869184,638.2290257229095,226,9.363458395004272
XMeans(max_clusters=227)_0,227,0,0.10147412674068867,0.5933762308024093,1.5045231952945366,0.15121742731760718,669.1611170521472,208,8.744489431381226
XMeans(max_clusters=227)_1,227,1,0.09465752522272565,0.589797675403376,1.4556925259736335,0.15463382378120688,647.8716494790804,227,11.434262752532959
XMeans(max_clusters=227)_2,227,2,0.09832917067572391,0.5915279701009486,1.4657225595019103,0.15434135610432434,657.4194111510952,222,11.57239055633545
XMeans(max_clusters=227)_3,227,3,0.09434624645808384,0.588996388601334,1.4787190150260119,0.15090732576547627,651.2669793737648,224,11.063849210739136
XMeans(max_clusters=227)_4,227,4,0.0989068765738755,0.5925117779552064,1.497941936934569,0.15127525282451407,654.3300053369953,221,9.078731060028076
XMeans(max_clusters=228)_0,228,0,0.10139726728955926,0.594875676040812,1.4731629556147174,0.15288353683701347,664.3916119526708,212,10.574565410614014
XMeans(max_clusters=228)_1,228,1,0.10047573885007277,0.5936308951427955,1.497597163706587,0.15262603867944416,668.5434302523746,210,9.672590970993042
XMeans(max_clusters=228)_2,228,2,0.09894314519505154,0.5912373580933169,1.4855087089398937,0.1514417013841073,657.9361692564754,216,10.877108573913574
XMeans(max_clusters=228)_3,228,3,0.09981644817588335,0.5930036941747727,1.4918723956942916,0.14916592738588816,665.2824252962334,213,10.408905982971191
XMeans(max_clusters=228)_4,228,4,0.10067656748137757,0.5928533412434311,1.4807222940446625,0.15182533149468547,657.9200162600241,217,8.178112745285034
XMeans(max_clusters=229)_0,229,0,0.10188422577120215,0.5930813915054398,1.481318647625264,0.15298467804291163,645.4657637358747,220,9.946985960006714
XMeans(max_clusters=229)_1,229,1,0.09684591491106455,0.5920733206644059,1.4548316889815551,0.1539028911099316,651.0783929410478,220,9.344707727432251
XMeans(max_clusters=229)_2,229,2,0.09875409661539634,0.5925900204859312,1.4964693820364263,0.1534343886798025,663.6987330851257,216,8.741321802139282
XMeans(max_clusters=229)_3,229,3,0.1004893856262204,0.5937148088861832,1.4837600085449345,0.15382813811394488,671.1799148248675,213,8.043321371078491
XMeans(max_clusters=229)_4,229,4,0.09766562077387458,0.5926345344762166,1.5124598178672415,0.15288789033029224,670.0745530986925,213,11.012005805969238
XMeans(max_clusters=230)_0,230,0,0.09727487495073821,0.5920221630584319,1.4918138494968736,0.15047851765821302,656.0157643065332,217,8.90095329284668
XMeans(max_clusters=230)_1,230,1,0.09745357478231037,0.5926902575362465,1.493357596961543,0.1525324032962493,656.5353274857509,219,9.919445753097534
XMeans(max_clusters=230)_2,230,2,0.09650039384192005,0.5906524644926096,1.4897750816134576,0.15303136233797635,663.6659311128865,217,8.710919618606567
XMeans(max_clusters=230)_3,230,3,0.09375121456625972,0.5898839472139172,1.4770450697562165,0.1512639346916759,646.7995992861478,223,9.321609258651733
XMeans(max_clusters=230)_4,230,4,0.09237316803689936,0.5898038581295351,1.4998591895011588,0.14918544003003023,648.1222166883275,225,10.46509575843811
XMeans(max_clusters=231)_0,231,0,0.10365291841327856,0.5965356191780926,1.488747813835103,0.1551273257521297,672.2855327398601,209,6.799882888793945
XMeans(max_clusters=231)_1,231,1,0.0931712657943996,0.5894456628699547,1.4802501971649986,0.14936848237469025,643.2957574089222,226,9.055389881134033
XMeans(max_clusters=231)_2,231,2,0.0989334556553076,0.5921585270802235,1.4771482708584651,0.15304419268115124,659.5017866706288,216,9.89105224609375
XMeans(max_clusters=231)_3,231,3,0.09653217993354689,0.5917503180371761,1.49659894583251,0.15026542263578088,666.9273098352919,212,8.678074598312378
XMeans(max_clusters=231)_4,231,4,0.09232427713216046,0.5876070386147414,1.478512273779033,0.1492338383505572,631.6007535783799,229,9.385862350463867
XMeans(max_clusters=232)_0,232,0,0.09764994241671729,0.592816466573686,1.5059610940613437,0.1501469488356787,654.641457718745,215,9.06928825378418
XMeans(max_clusters=232)_1,232,1,0.10317919220216813,0.5954191782455037,1.4863302327257677,0.1569660735354661,674.3555892835915,206,11.082534790039062
XMeans(max_clusters=232)_2,232,2,0.0984528333997864,0.592356136049653,1.4831263944166648,0.15307852395534574,658.9717095181376,215,9.110188722610474
XMeans(max_clusters=232)_3,232,3,0.0943310013690214,0.591133513764384,1.4942181417435996,0.1538015185888668,647.5370271357087,221,11.353530168533325
XMeans(max_clusters=232)_4,232,4,0.10030146033331663,0.5924249581408154,1.5003001960050972,0.15010053750103766,657.6496003295076,214,7.595647573471069
XMeans(max_clusters=233)_0,233,0,0.09366032674038646,0.5894448126385263,1.4936962200472268,0.15055802683607197,643.8017360049402,227,8.951981782913208
XMeans(max_clusters=233)_1,233,1,0.0945402738458459,0.590930292222902,1.493567540503278,0.15190781316529067,661.2216849602219,218,8.801891565322876
XMeans(max_clusters=233)_2,233,2,0.09906216198142834,0.592792228148905,1.494677731611821,0.15105392550490163,655.0564316048275,216,10.534085035324097
XMeans(max_clusters=233)_3,233,3,0.09698105409464969,0.5913954260852767,1.4967497982825253,0.15121460808580517,665.5434645080826,213,7.872373104095459
XMeans(max_clusters=233)_4,233,4,0.09812636913123232,0.5917313206814409,1.4788762889339866,0.1550474639569572,660.562627610177,218,10.039690017700195
XMeans(max_clusters=234)_0,234,0,0.0960028964296748,0.5912764470718733,1.4794874493061836,0.15210438021075814,648.1108185587128,223,11.245477437973022
XMeans(max_clusters=234)_1,234,1,0.1022185825872588,0.5944812137282114,1.4942879868115695,0.15444478909681084,667.1982049242418,210,12.278963327407837
XMeans(max_clusters=234)_2,234,2,0.09414313931675507,0.5901314802243917,1.4659571950805197,0.15186784453381844,634.6936741782755,230,13.30387544631958
XMeans(max_clusters=234)_3,234,3,0.0978368339742521,0.5906754529186905,1.4774036091478404,0.15345742985786937,652.2880726355348,221,11.63521122932434
XMeans(max_clusters=234)_4,234,4,0.09353601815750642,0.5902623106410709,1.4900680477909438,0.15125010358502938,636.1161576697014,230,11.698072910308838
XMeans(max_clusters=235)_0,235,0,0.09474562018020166,0.5895569937973758,1.5055660785857574,0.14958605131193897,661.909419288877,215,7.892841100692749
XMeans(max_clusters=235)_1,235,1,0.096172044720597,0.5900282338772188,1.4743055381967853,0.15424179039353092,651.0393323480009,223,10.441381216049194
XMeans(max_clusters=235)_2,235,2,0.09458379928865211,0.5891420208686067,1.4651441889189283,0.15062410273472288,640.019767332656,226,14.814270734786987
XMeans(max_clusters=235)_3,235,3,0.09433970726016806,0.589140767868377,1.4814502595436079,0.1517825537391898,644.0512081653587,226,8.572396755218506
XMeans(max_clusters=235)_4,235,4,0.09490648840733101,0.591125483747561,1.4950147768810045,0.1512748337120244,643.256635112862,224,10.421171426773071
